Filename	Names
GSM803615_113384hp133a11	CCRF_CEM
GSM803616_113385hp133a11	HL_60
GSM803617_113386hp133a21	MOLT_4
GSM803618_113387hp133a11	RPMI_8226
GSM803619_113388hp133a11	SR
GSM803620_113389hp133a11	K_562
GSM803621_113390hp133a11	BT_549
GSM803622_113391hp133a11	HS578T
GSM803623_113392hp133a11	MCF7
GSM803624_113393hp133a11	NCI_ADR_RES
GSM803625_113394hp133a11	MDA_MB_231
GSM803626_113395hp133a11	MDA_MB_435
GSM803627_113396hp133a11	SF_268
GSM803628_113397hp133a11	SF_295
GSM803629_113398hp133a11	SF_539
GSM803630_113399hp133a11	SNB_19
GSM803631_113400hp133a11	SNB_75
GSM803632_113401hp133a11	U251
GSM803633_113402hp133a11	COLO205
GSM803634_113403hp133a11	HCC_2998
GSM803635_113404hp133a11	HCT_116
GSM803636_113405hp133a11	HCT_15
GSM803637_113406hp133a11	HT29
GSM803638_113407hp133a11	KM12
GSM803639_113408hp133a11	SW_620
GSM803640_113409hp133a11	786_0
GSM803641_113410hp133a11	A498
GSM803642_113411hp133a11	ACHN
GSM803643_113412hp133a11	CAKI_1
GSM803644_113413hp133a11	RXF_393
GSM803645_113414hp133a11	SN12C
GSM803646_113415hp133a11	TK_10
GSM803647_113416hp133a11	UO_31
GSM803648_113417hp133a11	A549
GSM803649_113418hp133a21	EKVX
GSM803650_113419hp133a11	HOP_62
GSM803651_113420hp133a11	HOP_92
GSM803652_113421hp133a11	NCI_H226
GSM803653_113422hp133a11	NCI_H23
GSM803654_113423hp133a11	NCI_H322M
GSM803655_113424hp133a11	NCI_H460
GSM803656_113425hp133a11	NCI_H522
GSM803657_113426hp133a11	IGROV1
GSM803658_113427hp133a21	OVCAR_3
GSM803659_113428hp133a11	OVCAR_4
GSM803660_113429hp133a11	OVCAR_5
GSM803661_113430hp133a11	OVCAR_8
GSM803662_113431hp133a11	SK_OV_3
GSM803663_113432hp133a11	DU_145(DTP)
GSM803664_113433hp133a11	PC_3
GSM803665_113434hp133a11	LOXIMVI
GSM803666_113435hp133a11	M14
GSM803667_113436hp133a11	MALME_3M
GSM803668_113437hp133a11	SK_MEL_2
GSM803669_113438hp133a11	SK_MEL_28
GSM803670_113439hp133a11	SK_MEL_5
GSM803671_113440hp133a11	UACC_257
GSM803672_113441hp133a11	UACC_62
GSM803673_113442hp133a11	T47D
GSM803674_113443hp133a11	CCRF_CEM
GSM803675_113444hp133a11	HL_60
GSM803676_113445hp133a11	MOLT_4
GSM803677_113446hp133a11	RPMI_8226
GSM803678_113447hp133a11	SR
GSM803679_113448hp133a11	K_562
GSM803680_113449hp133a11	BT_549
GSM803681_113450hp133a11	HS578T
GSM803682_113451hp133a11	MCF7
GSM803683_113452hp133a11	NCI_ADR_RES
GSM803684_113453hp133a11	MDA_MB_231
GSM803685_113454hp133a11	MDA_MB_435
GSM803686_113455hp133a11	SF_268
GSM803687_113456hp133a11	SF_295
GSM803688_113457hp133a21	SF_539
GSM803689_113458hp133a11	SNB_19
GSM803690_113459hp133a11	SNB_75
GSM803691_113460hp133a11	U251
GSM803692_113461hp133a11	COLO205
GSM803693_113462hp133a11	HCC_2998
GSM803694_113463hp133a11	HCT_116
GSM803695_113464hp133a11	HCT_15
GSM803696_113465hp133a11	HT29
GSM803697_113466hp133a11	KM12
GSM803698_113467hp133a11	SW_620
GSM803699_113468hp133a11	786_0
GSM803700_113469hp133a11	A498
GSM803701_113470hp133a11	ACHN
GSM803702_113471hp133a11	CAKI_1
GSM803703_113472hp133a11	RXF_393
GSM803704_113473hp133a11	SN12C
GSM803705_113474hp133a11	TK_10
GSM803706_113475hp133a11	UO_31
GSM803707_113476hp133a11	A549
GSM803708_113477hp133a11	EKVX
GSM803709_113478hp133a11	HOP_62
GSM803710_113479hp133a11	HOP_92
GSM803711_113480hp133a11	NCI_H226
GSM803712_113481hp133a11	NCI_H23
GSM803713_113482hp133a11	NCI_H322M
GSM803714_113483hp133a11	NCI_H460
GSM803715_113484hp133a11	NCI_H522
GSM803716_113485hp133a11	IGROV1
GSM803717_113486hp133a11	OVCAR_3
GSM803718_113487hp133a11	OVCAR_4
GSM803719_113488hp133a11	OVCAR_5
GSM803720_113489hp133a11	OVCAR_8
GSM803721_113490hp133a11	DU_145(DTP)
GSM803722_113491hp133a11	PC_3
GSM803723_113492hp133a11	LOXIMVI
GSM803724_113493hp133a11	M14
GSM803725_113494hp133a11	MALME_3M
GSM803726_113495hp133a11	SK_MEL_2
GSM803727_113496hp133a11	SK_MEL_28
GSM803728_113497hp133a11	SK_MEL_5
GSM803729_113498hp133a11	UACC_257
GSM803730_113499hp133a11	UACC_62
GSM803731_113500hp133a11	T47D
GSM803732_116402hp133a11	SK_OV_3
GSM803733_118169hp133a11	CCRF_CEM
GSM803734_118170hp133a11	HL_60
GSM803735_118171hp133a11	MOLT_4
GSM803736_118172hp133a11	RPMI_8226
GSM803737_118173hp133a11	SR
GSM803738_118174hp133a11	K_562
GSM803739_118175hp133a11	BT_549
GSM803740_118176hp133a11	HS578T
GSM803741_118177hp133a11	MCF7
GSM803742_118178hp133a11	NCI_ADR_RES
GSM803743_118179hp133a11	MDA_MB_231
GSM803744_118180hp133a11	MDA_MB_435
GSM803745_118181hp133a11	SF_268
GSM803746_118182hp133a11	SF_295
GSM803747_118183hp133a11	SF_539
GSM803748_118184hp133a11	SNB_19
GSM803749_118185hp133a11	SNB_75
GSM803750_118186hp133a11	U251
GSM803751_118187hp133a11	COLO205
GSM803752_118188hp133a11	HCC_2998
GSM803753_118189hp133a11	HCT_116
GSM803754_118190hp133a11	HCT_15
GSM803755_118191hp133a11	HT29
GSM803756_118192hp133a11	KM12
GSM803757_118193hp133a11	SW_620
GSM803758_118194hp133a11	786_0
GSM803759_118195hp133a11	A498
GSM803760_118196hp133a11	ACHN
GSM803761_118198hp133a11	RXF_393
GSM803762_118199hp133a11	SN12C
GSM803763_118200hp133a11	TK_10
GSM803764_118201hp133a11	UO_31
GSM803765_118202hp133a11	A549
GSM803766_118203hp133a11	EKVX
GSM803767_118204hp133a11	HOP_62
GSM803768_118205hp133a11	HOP_92
GSM803769_118207hp133a11	NCI_H23
GSM803770_118208hp133a11	NCI_H322M
GSM803771_118209hp133a11	NCI_H460
GSM803772_118210hp133a11	NCI_H522
GSM803773_118211hp133a11	IGROV1
GSM803774_118212hp133a11	OVCAR_3
GSM803775_118213hp133a11	OVCAR_4
GSM803776_118214hp133a11	OVCAR_5
GSM803777_118215hp133a11	OVCAR_8
GSM803778_118216hp133a11	SK_OV_3
GSM803779_118217hp133a11	DU_145(DTP)
GSM803780_118218hp133a11	PC_3
GSM803781_118219hp133a11	LOXIMVI
GSM803782_118220hp133a11	M14
GSM803783_118221hp133a11	MALME_3M
GSM803784_118222hp133a11	SK_MEL_2
GSM803785_118224hp133a11	SK_MEL_5
GSM803786_118225hp133a11	UACC_257
GSM803787_118226hp133a11	UACC_62
GSM803788_118227hp133a11	T47D
